Rater	Training?	Testing?	Set 3?	Skipped?	False pos?	Owner	Project	Title	Link	Fix Link	Stars	TF-IDFs	Size	Datetime	Arrow	Pendulum	Description	Category 1	Category 2	Affected Computation 1	Affected Computation 2	Affected Computation 3	Obscurity	Impact/Severity	# LOC	Logic Needed	Comments	BPST1	BPST2	BPST3	Make Benchmark?	Associated Benchmark
3: Shrey Sasha	FALSE	TRUE	FALSE	FALSE	TRUE	sdispater	pendulum	DateTime.add(duration)	https://github.com/sdispater/pendulum/issues/323	https://github.com/gridsingularity/gsy-e/pull/1463	6109	0.9960230505	1694	1	0	1																
	TRUE	FALSE	FALSE	FALSE	FALSE	mverleg	pyjson_tricks	Invalid datetime decoding	https://github.com/mverleg/pyjson_tricks/issues/41	https://github.com/mverleg/pyjson_tricks/commit/3fda9791a8bb39f966ae4e88e9e9555f2646917e	154	0.9651697541	1250	1	0	0																
2: Shrey Serena	FALSE	TRUE	FALSE	FALSE	TRUE	Bears-R-Us	arkouda	datetime columns in dataframe display bug	https://github.com/Bears-R-Us/arkouda/issues/2596	https://github.com/stress-tess/arkouda/commit/e7eb559ba6de05c33859804b552bc016e964e76c	228	0.9473247674	3315	1	0	0											pretty sure this is a false positive?					
	TRUE	FALSE	FALSE	FALSE	FALSE	dateutil	dateutil	last day of the month is wrong??	https://github.com/dateutil/dateutil/issues/1167	https://github.com/dateutil/dateutil/pull/1170	2266	0.9356910032	1093	1	0	0	they expected apr 30 + 1 month = may 31	Date		Datetime Arithmetic			Low	Low	Medium	Medium	INTERESTING	Unintuitive Arithmetic			Yes	
5: Peter Sasha	FALSE	TRUE	FALSE	FALSE	TRUE	dateutil	dateutil	last day of the month is wrong??	https://github.com/dateutil/dateutil/issues/1167	https://github.com/dateutil/dateutil/pull/1168	2266	0.9356910032	1093	1	0	0		Date		Datetime Arithmetic			Medium	Medium	Medium	Medium	???? I think the logic doesn't make sense	Unintuitive Arithmetic			Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	python	typeshed	Invalid typing for datetime.timedelta.__init__?	https://github.com/python/typeshed/issues/5529	https://github.com/python/typeshed/pull/5532	4139	0.9213960365	1377	1	0	0																
	TRUE	FALSE	FALSE	FALSE	TRUE	python	typeshed	tzinfo vs. timestamp type for timezone.utc	https://github.com/python/typeshed/issues/567	https://github.com/python/typeshed/pull/568	4139	0.9126549311	1237	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	vacanza	python-holidays	Value Error when setting years	https://github.com/vacanza/python-holidays/issues/527	https://github.com/vacanza/python-holidays/pull/528	1375	0.9049516979	9358	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	jupyter-server	jupyter_server	datetime.datetime.utcnow() and datetime.datetime.utcfromtimestamp() are deprecated in Python 3.12	https://github.com/jupyter-server/jupyter_server/issues/1296	https://github.com/jupyter-server/jupyter_server/pull/1353	461	0.8996655222	3303	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	vacanza	python-holidays	Mississippi Holiday - Confederate Memorial Day - Calculation incorrect	https://github.com/vacanza/python-holidays/issues/1774	https://github.com/vacanza/python-holidays/pull/1775	1375	0.8971165925	1326	1	0	0		Date		Datetime Arithmetic	Datetime Construction		Low	Medium	Low	Low		Unintuitive Arithmetic			Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	seandstewart	typical	transmute from datetime.datetime -> pendulum.Datetime not handling tzinfo right	https://github.com/seandstewart/typical/issues/91	https://github.com/seandstewart/typical/pull/92	183	0.8828307451	1005	1	0	1		Timezone		Library Conversions			Low	Medium	Medium	Medium		Adding Support for New Libraries			Specific	
3: Shrey Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	mverleg	pyjson_tricks	Ambiguous timezone info in datetime	https://github.com/mverleg/pyjson_tricks/issues/89	https://github.com/mverleg/pyjson_tricks/commit/b3e0b9e682a81b6d6e327cd114a85e70d697441c	154	0.8708167515	1400	1	0	0		Timezone		Datetime Construction			High	Medium	Medium	Medium		Creating time in unspecified fold			No	
	TRUE	FALSE	FALSE	FALSE	FALSE	ibis-project	ibis	ENH: Support timestamp, date, and time arithmetic	https://github.com/ibis-project/ibis/issues/1228	https://github.com/ibis-project/ibis/pull/1243	4407	0.8581796188	3227	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	vacanza	python-holidays	Use `timedelta` for days offset calculation	https://github.com/vacanza/python-holidays/issues/891	https://github.com/vacanza/python-holidays/pull/900	1375	0.8571746672	1110	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	freach	udatetime	Timestamp conversion does not handle daylight time	https://github.com/freach/udatetime/issues/10	https://github.com/SkyTruth/udatetime/commit/a72ff2e3fa8af3ed86364001058ae1b8a2602acd	241	0.8538663708	1669	1	0	0		DST	Timestamps	Datetime Construction			Medium	Medium	High	High	assuming utc when its actually local	Using Naïve Datetime Incorrectly			No	
6: Serena Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	timvink	mkdocs-git-revision-date-localized-plugin	DeprecationWarning: datetime.datetime.utcfromtimestamp() is deprecated and scheduled for removal in a future version	https://github.com/timvink/mkdocs-git-revision-date-localized-plugin/issues/121	https://github.com/timvink/mkdocs-git-revision-date-localized-plugin/commit/4bf713aaa410ce8a79572545129656b59cc8f5bc	177	0.8354575386	1285	1	0	0		Timezone		Datetime Construction			Low	Low	Low	Low		Outdated/Deprecated APIs			Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	stringertheory	traces	[WIP] set_interval problems when dealing with hours	https://github.com/stringertheory/traces/issues/217	https://github.com/xeor/traces/commit/855af12f53c892131a1adb9ce6429a24dfd32d1a	525	0.8283535221	1530	1	0	0		Duration		Datetime Construction	Replacing/Rounding Datetime Components		Low	Medium	Medium	Medium		Precision of Representation			Specific	
	TRUE	FALSE	FALSE	FALSE	FALSE	cockroachdb	django-cockroachdb	DATE_TRUNC result is incorrectly localized when a timezone is set	https://github.com/cockroachdb/django-cockroachdb/issues/32	https://github.com/timgraham/django-cockroachdb/commit/07b558032be49d9f8da18bffa36d954d8cacd0cc	158	0.823205222	2679	1	0	0																
3: Shrey Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	pallets	quart	DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).	https://github.com/pallets/quart/issues/305	https://github.com/pallets/quart/pull/306	2715	0.8177812689	3499	1	0	0		Timezone		Datetime Construction			Low	Low	Low	Low		Outdated/Deprecated APIs			Yes	
5: Peter Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	vacanza	python-holidays	US Holidays Error: dictionary changed during iteration when passing years to holidays.US constructor	https://github.com/vacanza/python-holidays/issues/569	https://github.com/vacanza/python-holidays/pull/586	1375	0.7988695388	18315	1	0	0		Timestamps		Timestamp/Hash Construction			Medium	Medium	Very High	Medium		Precision of Representation			No	
2: Shrey Serena	FALSE	TRUE	FALSE	FALSE	TRUE	BeanieODM	beanie	Custom encoders encode `datetime.datetime` as `datetime.date` encoder.	https://github.com/BeanieODM/beanie/issues/271	https://github.com/BeanieODM/beanie/pull/164	1857	0.7894631654	2002	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	snowflakedb	snowflake-connector-python	SNOW-582728: Invalid Pyarrow Timestamps Returned	https://github.com/snowflakedb/snowflake-connector-python/issues/1108	https://github.com/snowflakedb/snowflake-connector-python/pull/1104	565	0.779741647	2651	1	0	1																
2: Shrey Serena	FALSE	TRUE	FALSE	FALSE	FALSE	dsmrreader	dsmr-reader	Explore timezone.localtime() as replacement for datetime.astimezone()	https://github.com/dsmrreader/dsmr-reader/issues/50	https://github.com/dsmrreader/dsmr-reader/commit/efcbb7f49d9ba22183aa04f6844c4261c6e2ff89	458	0.7791396651	1415	1	0	0		Timezone		Timezone Conversions	Library Conversions	Datetime Construction	Medium	Medium	Very High	Medium	seems like they're switching to django's "localtime()" since it relies on something that's hardcoded to UTC	Using Naïve Datetime Incorrectly	Adding Support for New Libraries	Adding Support for New Features	Specific	
	TRUE	FALSE	FALSE	FALSE	FALSE	edgedb	edgedb	Fix std::duration and add cal::relativedelta	https://github.com/edgedb/edgedb/issues/903	https://github.com/edgedb/edgedb-js/pull/87	12712	0.7769843539	1905	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	googleapis	python-storage	generate_signed_post_policy_v4() improperly handles expiration timestamps with tzinfo=None	https://github.com/googleapis/python-storage/issues/244	https://github.com/googleapis/python-storage/pull/250	420	0.7762413996	1158	1	0	0		Timezone		Datetime Construction			Medium	Medium	Low	Low		Using Naïve Datetime Incorrectly			Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	apache	airflow	DateTimeSensorAsync breaks if target_time is timezone-aware	https://github.com/apache/airflow/issues/29576	https://github.com/apache/airflow/pull/29606	35031	0.7755959493	2962	1	0	1		Timezone		Timezone Conversions	Datetime Construction		Low	High	Low	Low		Adding Support for New Features	Using Naïve Datetime Incorrectly		Specific	
3: Shrey Sasha	FALSE	TRUE	FALSE	FALSE	TRUE	thombashi	DateTimeRange	Substraction from `end_datetime` with negative `relativedelta(days=-3, weeks=-2, ... )` ?	https://github.com/thombashi/DateTimeRange/issues/44	https://github.com/thombashi/DateTimeRange/commit/f474ba53721b7f3b61b4ebf6091861b1ad95c8af	101	0.7752957547	1001	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	danielgtaylor	python-betterproto	Inconsistancy between Timestamp field serailized via protobuf and json	https://github.com/danielgtaylor/python-betterproto/issues/467	https://github.com/danielgtaylor/python-betterproto/pull/468	1423	0.7374314984	3226	1	0	0		Timezone		Timezone Conversions	String Parsing/Formatting (data)		Low	Medium	Low	Low	basically exact same as 38	Read/Write Naïve times	Adding Support for New Features		Specific	
4: Peter Serena	FALSE	TRUE	FALSE	FALSE	FALSE	census-instrumentation	opencensus-python	Standardize timestamps	https://github.com/census-instrumentation/opencensus-python/issues/502	https://github.com/census-instrumentation/opencensus-python/pull/552	663	0.7367843687	1389	1	0	0		Timestamps	NTP/Leap Seconds	Timestamp/Hash Construction	Replacing/Rounding Datetime Components		Medium	Medium	High	Medium	they're standardizing their timestamps to account for leap seconds	Adding Support for New Features	OOB Timestamps	Precision of Representation	No	
1: Shrey Peter	FALSE	TRUE	FALSE	FALSE	TRUE	grafana	oncall	Timezone issues on Schedules page	https://github.com/grafana/oncall/issues/3576	https://github.com/grafana/oncall/pull/3618	3288	0.7365572686	1967	1	0	0																
1: Shrey Peter	FALSE	TRUE	FALSE	FALSE	FALSE	richardpenman	whois	Expiration date for .com.ua zone is a string instead of datetime	https://github.com/richardpenman/whois/issues/221	https://github.com/richardpenman/whois/pull/226	340	0.7309318669	1091	1	0	0	datetime.UTC was added in a later version of python	String Representation	Timezone	String Parsing/Formatting (data)	Datetime Construction		High	Medium	Low	Low	It's sort of the opposite, where they used the new API too soon	Outdated/Deprecated APIs			No	
6: Serena Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	sdispater	pendulum	Increase DateTime by 1 day across daylight saving change point fails	https://github.com/sdispater/pendulum/issues/768	https://github.com/sdispater/pendulum/commit/47c92b7cea3139ed631a573425f39c1c8b54ea6a	6109	0.7257255471	1714	1	0	1		Duration	DST	Datetime Arithmetic			Medium	Medium	Medium	Low		Crossing DST boundaries	Library Bug		Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	frictionlessdata	frictionless-py	Exception on pandas parser when using a datetime column containing timezone information as index	https://github.com/frictionlessdata/frictionless-py/issues/1105	https://github.com/frictionlessdata/frictionless-py/pull/1101	683	0.7248597494	1607	1	0	0		Timezone		Timezone Conversions	Library Conversions	Timestamp/Hash Construction	Low	Medium	Medium	Low	basically exact same as 38	Read/Write Naïve times	Adding Support for New Features		Specific	
4: Peter Serena	FALSE	TRUE	FALSE	FALSE	FALSE	Election-Tech-Initiative	electionguard-python	🐛 Datetime tick generation is inconsistent	https://github.com/Election-Tech-Initiative/electionguard-python/issues/190	https://github.com/Election-Tech-Initiative/electionguard-python/pull/189	157	0.7242460704	1334	1	0	0		Timestamps	Timezone	Timestamp/Hash Construction	Datetime Construction		Low	Medium	Medium	Medium	switching to unix epoch so creating datetimes is more consistent	Using Naïve Datetime Incorrectly	Precision of Representation		Yes	
2: Shrey Serena	FALSE	TRUE	FALSE	FALSE	FALSE	fsspec	filesystem_spec	datetime.utcnow() is deprecated	https://github.com/fsspec/filesystem_spec/issues/1312	https://github.com/fsspec/filesystem_spec/pull/1314	934	0.7227329485	1304	1	0	0		Timezone		Datetime Construction			Low	Low	Medium	Low	typical deprecated datetime.utcnow()	Outdated/Deprecated APIs			Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	scrapinghub	dateparser	Pickling DateTime Objects with Timezones	https://github.com/scrapinghub/dateparser/issues/365	https://github.com/scrapinghub/dateparser/pull/366	2480	0.7204216868	1648	1	0	0		Timezone	String Representation	String Parsing/Formatting (data)	Datetime Construction		Low	Medium	Low	Medium		Read/Write Naïve times			No	
	TRUE	FALSE	FALSE	FALSE	FALSE	robotframework	robotframework	DateTime: `Get Current Date` with epoch format and timezone UTC return wrong value	https://github.com/robotframework/robotframework/issues/3306	https://github.com/robotframework/robotframework/commit/73d9a6cdead85001fae46d54705f3baf5887ffbd	9279	0.7174705468	1508	1	0	0		Timezone	Timestamps	Datetime Construction	Timezone Conversions	Library Conversions	Low	Medium	Medium	Medium		Using Naïve Datetime Incorrectly	Outdated/Deprecated APIs		Yes	
1: Shrey Peter	FALSE	TRUE	FALSE	FALSE	FALSE	requests-cache	aiohttp-client-cache	`datetime.utcnow` is deprecated	https://github.com/requests-cache/aiohttp-client-cache/issues/237	https://github.com/requests-cache/aiohttp-client-cache/pull/243	112	0.7145898302	1218	1	0	0		Timezone		Datetime Construction			Low	Low	Medium	Low	why would they get rid of the tzinfo?	Outdated/Deprecated APIs	Using Naïve Datetime Incorrectly		Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	kayak	pypika	Interval query trims right zeros for integer values	https://github.com/kayak/pypika/issues/152	https://github.com/kayak/pypika/commit/40709f4088f596152f2fe395a403baef90d8d2a2	2407	0.713719698	1022	1	0	0																
3: Shrey Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	stringertheory	traces	wrong value when assigning twice the same interval	https://github.com/stringertheory/traces/issues/222	https://github.com/sdementen/traces/commit/b00c82b5f2e927ad1158d8ffc6344596f2531656	525	0.708854291	1158	1	0	0		Duration		Datetime Construction	Datetime Comparison		Medium	Medium	Low	Low		Typo			Specific	
	TRUE	FALSE	FALSE	FALSE	FALSE	dateutil	dateutil	Error when creating datetime.time with dateutil.tz.tzwinlocal	https://github.com/dateutil/dateutil/issues/216	https://github.com/dateutil/dateutil/pull/219	2266	0.7083106481	1795	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	forseti-security	forseti-security	Standardize on a datetime format and use throughout.	https://github.com/forseti-security/forseti-security/issues/1163	https://github.com/forseti-security/forseti-security/pull/1196	1275	0.7047040872	1832	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	facetoe	zenpy	IncrementalEndpoint start_time arg for timezone aware datetime	https://github.com/facetoe/zenpy/issues/86	https://github.com/facetoe/zenpy/commit/8a135b0d56f7add8c33dbf91f55d9c5ce9868619	333	0.7040864024	5715	1	0	0																
	TRUE	FALSE	FALSE	FALSE	TRUE	pydantic	pydantic-extra-types	pendulum DateTime type doesn't accept python standard datetime	https://github.com/pydantic/pydantic-extra-types/issues/139	https://github.com/pydantic/pydantic-extra-types/pull/158	153	0.7030454919	1001	1	0	1																
	TRUE	FALSE	FALSE	FALSE	FALSE	PrefectHQ	prefect	Prefect datetimes need to be timezone-aware (especially schedules)	https://github.com/PrefectHQ/prefect/issues/308	https://github.com/PrefectHQ/prefect/pull/325	15193	0.6930265641	1415	1	0	1																
3: Shrey Sasha	FALSE	TRUE	FALSE	FALSE	TRUE	milvus-io	pymilvus	[FEATURE]: Add util functions to manipulate hybrid timestamp	https://github.com/milvus-io/pymilvus/issues/830	https://github.com/milvus-io/pymilvus/pull/831	924	0.6908668325	3442	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	python-telegram-bot	python-telegram-bot	job_queue.run_daily fails for timezone aware datetime.datetime objects	https://github.com/python-telegram-bot/python-telegram-bot/issues/1409	https://github.com/torresjrjr/python-telegram-bot/commit/41c5469073b0c3303f4c377847317e7cfe6b3c90	25168	0.6903573489	1618	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	sdispater	pendulum	Extra second prior to Dec 13, 1901	https://github.com/sdispater/pendulum/issues/152	https://github.com/sdispater/pendulum/commit/c0d37bd7823ae67367a5662e1da29585a2b7ef96	6109	0.6896613204	1045	1	0	1		Timestamps		Replacing/Rounding Datetime Components	Datetime Construction		High	Low	Low	Medium		OOB Timestamps	Precision of Representation	Library Bug	Yes	
4: Peter Serena	FALSE	TRUE	FALSE	FALSE	FALSE	sdispater	pendulum	parse 'Z' timezone designator in iso8601 strings as Timezone('UTC'), not Timezone('+00:00')	https://github.com/sdispater/pendulum/issues/441	https://github.com/sdispater/pendulum/pull/448	6109	0.6874170625	1438	1	0	1		String Representation	Timezone	String Parsing/Formatting (data)	Datetime Construction		Medium	Low	High	Low	pendulum is parsing the string incorrectly to Timezone('+00:00') instead of Timezone('UTC')	Comparing Timezones			No	
	TRUE	FALSE	FALSE	FALSE	FALSE	dateutil	dateutil	python-dateutil 2.7.0: TypeError in `parser.parse()`	https://github.com/dateutil/dateutil/issues/639	https://github.com/privacyidea/privacyidea/pull/1084	2266	0.6865669057	2716	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	google	timesketch	Timestamp is not added if missing despite datetime being present	https://github.com/google/timesketch/issues/2667	https://github.com/google/timesketch/pull/2668	2518	0.6855401739	1043	1	0	0																
1: Shrey Peter	FALSE	TRUE	FALSE	FALSE	FALSE	scrapinghub	dateparser	Unable to parse UTC / GMT >= 10	https://github.com/scrapinghub/dateparser/issues/615	https://github.com/scrapinghub/dateparser/pull/632	2480	0.6843178725	1375	1	0	0		String Representation	Timezone	String Parsing/Formatting (data)	Datetime Construction		Medium	High	Medium	Medium		TODO			No	
	TRUE	FALSE	FALSE	FALSE	FALSE	Altinity	clickhouse-sink-connector	DateTime with scale mapping to CH	https://github.com/Altinity/clickhouse-sink-connector/issues/118	https://github.com/Altinity/clickhouse-sink-connector/pull/126	188	0.6837446968	1953	1	0	0																
4: Peter Serena	FALSE	TRUE	FALSE	FALSE	FALSE	aimhubio	aim	Store and retrieve all datetime objects and timestamps as UTC tz-aware times	https://github.com/aimhubio/aim/issues/1084	https://github.com/aimhubio/aim/pull/1216	4892	0.6835294552	1745	1	0	0		Timezone	Timestamps	Datetime Construction	Timestamp/Hash Construction		Medium	Medium	Low	Low	changing from naive to tz aware (utc) objects	Using Naïve Datetime Incorrectly			Yes	
1: Shrey Peter	FALSE	TRUE	FALSE	FALSE	TRUE	ecederstrand	exchangelib	EWSTimeZone disguises pytz.AmbiguousTimeError and pytz.NonExistentTimeError exceptions	https://github.com/ecederstrand/exchangelib/issues/612	https://github.com/ecederstrand/exchangelib/pull/613	1140	0.6741365694	1455	1	0	0	Issue with error propagation															
	TRUE	FALSE	FALSE	FALSE	FALSE	dateutil	dateutil	Going from winter- to summertime by adding a timedelta	https://github.com/dateutil/dateutil/issues/1204	https://github.com/CodingPirates/forenings_medlemmer/pull/782	2266	0.6630704796	1711	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	RhetTbull	osxmetadata	bug: timezone not handled properly	https://github.com/RhetTbull/osxmetadata/issues/17	https://github.com/RhetTbull/osxmetadata/commit/10e17d562be6b43d9ab348c464cda9a9bdaaac82	110	0.6601730813	7645	1	0	0																
5: Peter Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	skarim	vobject	Serializing iCalendar throws NonExistentTimeError when using pytz timezones	https://github.com/skarim/vobject/issues/32	https://github.com/medmunds/vobject/commit/c7efe6ad5b01fc88ccc3a4ade88f47f66418c40c	249	0.6583571373	3084	1	0	0		Timezone	String Representation	String Parsing/Formatting (data)			Medium	Low	Medium	Medium		Adding Support for New Libraries			No	
	TRUE	FALSE	FALSE	FALSE	TRUE	cubewise-code	tm1py	MessageLogService missing utc_localize_time static method	https://github.com/cubewise-code/tm1py/issues/1051	https://github.com/cubewise-code/tm1py/pull/1052	180	0.6543680811	1587	1	0	0	They just kinda put the function in the wrong place															
1: Shrey Peter	FALSE	TRUE	FALSE	FALSE	TRUE	python	cpython	Possible bug in datetime utc	https://github.com/python/cpython/issues/88829	https://github.com/SmartManoj/cpython/commit/dc3cdc1a80aa193fc0c08677882c3ede4b9aaf03	60455	0.6538513499	5597	1	0	0																
	TRUE	FALSE	FALSE	FALSE	FALSE	googlemaps	google-maps-services-python	Timezones are ignored when converting datetimes	https://github.com/googlemaps/google-maps-services-python/issues/185	https://github.com/googlemaps/google-maps-services-python/pull/350	4396	0.6535934088	1987	1	0	0	use an old way of timestamping that doesn't account for timestamp	Timezone		Timezone Conversions	Timestamp/Hash Construction		Low	Medium	Low	Low	Add to test_deprecated APIs the timetuple function	Read/Write Naïve times	Outdated/Deprecated APIs		Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	holoviz	holoviews	Local timezone can break regrid operation	https://github.com/holoviz/holoviews/issues/2459	https://github.com/holoviz/holoviews/pull/2463	2650	0.6513918464	2342	1	0	0																
5: Peter Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	unionai-oss	pandera	Pandas deprecated `(timezone naive timestamp).astype(timezone aware dtype)`	https://github.com/unionai-oss/pandera/issues/971	https://github.com/unionai-oss/pandera/pull/972	3095	0.6501153865	1304	1	0	0		Timezone		Datetime Construction			Low	Low	High	High		Using Naïve Datetime Incorrectly			Specific	
6: Serena Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	pydantic	pydantic	TzInfo type doesn't provide proper dst	https://github.com/pydantic/pydantic/issues/6735	https://github.com/pydantic/pydantic-core/pull/864	19350	0.6475118973	3433	1	0	0		DST	Timezone	Datetime Construction			Low	Medium	High	High		Using Naïve Datetime Incorrectly			No	
	TRUE	FALSE	FALSE	FALSE	FALSE	dateutil	dateutil	Exercise: Martin Luther King day	https://github.com/dateutil/dateutil/issues/664	https://github.com/dateutil/dateutil/pull/739	2266	0.6422649254	2070	1	0	0																
	TRUE	FALSE	FALSE	FALSE	TRUE	ibis-project	ibis	FEAT: Need to add Ibis support for various timestamp component operations in OmniSci	https://github.com/ibis-project/ibis/issues/1916	https://github.com/ibis-project/ibis/pull/2149	4407	0.6412891955	1650	1	0	0																
2: Shrey Serena	FALSE	TRUE	FALSE	FALSE	TRUE	dusktreader	flask-praetorian	Dependency issues with pendulum and python 3.12	https://github.com/dusktreader/flask-praetorian/issues/292	https://github.com/dusktreader/flask-praetorian/pull/293	340	0.6362162923	1205	1	0	1											just resolving dependencies					
6: Serena Sasha	FALSE	TRUE	FALSE	FALSE	FALSE	huggingface	huggingface_hub	`test_from_raw_initialization` seems to be missing daylight savings?	https://github.com/huggingface/huggingface_hub/issues/1976	https://github.com/huggingface/huggingface_hub/pull/1982	1790	0.6354657674	4311	1	0	0		Timezone	DST	Timezone Conversions	String Parsing/Formatting (data)	Datetime Construction	Medium	Medium	Medium	Low		Dropping Timezones			Yes	
	TRUE	FALSE	FALSE	FALSE	FALSE	googleapis	python-ndb	Auto-add and naive datetimes not offsetting timezone correctly	https://github.com/googleapis/python-ndb/issues/517	https://github.com/chrisrossi/python-ndb/commit/bbda21f1ecf8d83ae41623b5f1347784817c00f9	147	0.6344238618	6016	1	0	0																
