Rater	Skipped?	False pos?	Owner	Project	Title	Link	Fix Link	Stars	TF-IDFs	Size	Datetime	Arrow	Pendulum	Category 1	Category 2	Erroneous Computation 1	Erroneous Computation 2	Erroneous Computation 3	Obscurity	Impact	# LOC	Logic Needed	Bug Pattern 1	Bug Pattern 2	Bug Pattern 3
2: Shrey Serena	False	True	dsmrreader	dsmr-reader	Explore timezone.localtime() as replacement for datetime.astimezone()	https://github.com/dsmrreader/dsmr-reader/issues/50	https://github.com/dsmrreader/dsmr-reader/commit/efcbb7f49d9ba22183aa04f6844c4261c6e2ff89	458.0	0.7791396651	1415.0	1.0	0.0	0.0												
3: Shrey Sasha	False	False	thombashi	DateTimeRange	Substraction from `end_datetime` with negative `relativedelta(days=-3, weeks=-2, ... )` ?	https://github.com/thombashi/DateTimeRange/issues/44	https://github.com/thombashi/DateTimeRange/commit/f474ba53721b7f3b61b4ebf6091861b1ad95c8af	101.0	0.7752957547	1001.0	1.0	0.0	0.0	Date		Datetime Arithmetic			Medium	Medium	Medium	Medium	General		
4: Peter Serena	False	True	census-instrumentation	opencensus-python	Standardize timestamps	https://github.com/census-instrumentation/opencensus-python/issues/502	https://github.com/census-instrumentation/opencensus-python/pull/552	663.0	0.7367843687	1389.0	1.0	0.0	0.0												
1: Shrey Peter	False	True	grafana	oncall	Timezone issues on Schedules page	https://github.com/grafana/oncall/issues/3576	https://github.com/grafana/oncall/pull/3618	3288.0	0.7365572686	1967.0	1.0	0.0	0.0												
1: Shrey Peter	False	False	richardpenman	whois	Expiration date for .com.ua zone is a string instead of datetime	https://github.com/richardpenman/whois/issues/221	https://github.com/richardpenman/whois/pull/226	340.0	0.7309318669	1091.0	1.0	0.0	0.0	Timezone		String Parsing/Formatting (data)			Medium	Low	Low	Low	General		
6: Serena Sasha	False	False	sdispater	pendulum	Increase DateTime by 1 day across daylight saving change point fails	https://github.com/sdispater/pendulum/issues/768	https://github.com/sdispater/pendulum/commit/47c92b7cea3139ed631a573425f39c1c8b54ea6a	6109.0	0.7257255471	1714.0	1.0	0.0	1.0	Duration	DST	Datetime Arithmetic			Low	Medium	Medium	Low	Unintuitive Arithmetic	Using Naïve Datetime Incorrectly	
4: Peter Serena	False	False	Election-Tech-Initiative	electionguard-python	🐛 Datetime tick generation is inconsistent	https://github.com/Election-Tech-Initiative/electionguard-python/issues/190	https://github.com/Election-Tech-Initiative/electionguard-python/pull/189	157.0	0.7242460704	1334.0	1.0	0.0	0.0	Timestamps	Timezone	Timestamp/Hash Construction	Datetime Construction		Low	Medium	Medium	Medium	Using Naïve Datetime Incorrectly	Precision of Representation	
2: Shrey Serena	False	False	fsspec	filesystem_spec	datetime.utcnow() is deprecated	https://github.com/fsspec/filesystem_spec/issues/1312	https://github.com/fsspec/filesystem_spec/pull/1314	934.0	0.7227329485	1304.0	1.0	0.0	0.0	Timezone	Timestamps	Datetime Construction			Low	Low	Low	Low	Outdated/Deprecated APIs		
1: Shrey Peter	False	False	requests-cache	aiohttp-client-cache	`datetime.utcnow` is deprecated	https://github.com/requests-cache/aiohttp-client-cache/issues/237	https://github.com/requests-cache/aiohttp-client-cache/pull/243	112.0	0.7145898302	1218.0	1.0	0.0	0.0	Timezone		Datetime Construction			Low	Low	Low	Low	Outdated/Deprecated APIs		
3: Shrey Sasha	False	True	stringertheory	traces	wrong value when assigning twice the same interval	https://github.com/stringertheory/traces/issues/222	https://github.com/sdementen/traces/commit/b00c82b5f2e927ad1158d8ffc6344596f2531656	525.0	0.708854291	1158.0	1.0	0.0	0.0												
3: Shrey Sasha	False	True	milvus-io	pymilvus	[FEATURE]: Add util functions to manipulate hybrid timestamp	https://github.com/milvus-io/pymilvus/issues/830	https://github.com/milvus-io/pymilvus/pull/831	924.0	0.6908668325	3442.0	1.0	0.0	0.0												
4: Peter Serena	False	False	sdispater	pendulum	parse 'Z' timezone designator in iso8601 strings as Timezone('UTC'), not Timezone('+00:00')	https://github.com/sdispater/pendulum/issues/441	https://github.com/sdispater/pendulum/pull/448	6109.0	0.6874170625	1438.0	1.0	0.0	1.0	String Representation		String Parsing/Formatting (data)	Datetime Construction		Medium	Low	High	Low	Comparing Timezones		
1: Shrey Peter	False	False	scrapinghub	dateparser	Unable to parse UTC / GMT >= 10	https://github.com/scrapinghub/dateparser/issues/615	https://github.com/scrapinghub/dateparser/pull/632	2480.0	0.6843178725	1375.0	1.0	0.0	0.0	String Representation		String Parsing/Formatting (data)			Low	Medium	Medium	Medium			
4: Peter Serena	False	False	aimhubio	aim	Store and retrieve all datetime objects and timestamps as UTC tz-aware times	https://github.com/aimhubio/aim/issues/1084	https://github.com/aimhubio/aim/pull/1216	4892.0	0.6835294552	1745.0	1.0	0.0	0.0	Timezone	Timestamps	Datetime Construction	Timestamp/Hash Construction		Medium	Medium	Low	Medium	Using Naïve Datetime Incorrectly		
1: Shrey Peter	False	True	ecederstrand	exchangelib	EWSTimeZone disguises pytz.AmbiguousTimeError and pytz.NonExistentTimeError exceptions	https://github.com/ecederstrand/exchangelib/issues/612	https://github.com/ecederstrand/exchangelib/pull/613	1140.0	0.6741365694	1455.0	1.0	0.0	0.0												
5: Peter Sasha	False	False	skarim	vobject	Serializing iCalendar throws NonExistentTimeError when using pytz timezones	https://github.com/skarim/vobject/issues/32	https://github.com/medmunds/vobject/commit/c7efe6ad5b01fc88ccc3a4ade88f47f66418c40c	249.0	0.6583571373	3084.0	1.0	0.0	0.0	Timezone		String Parsing/Formatting (data)	Library Conversions		Medium	High	High	Medium			
1: Shrey Peter	False	False	python	cpython	Possible bug in datetime utc	https://github.com/python/cpython/issues/88829	https://github.com/SmartManoj/cpython/commit/dc3cdc1a80aa193fc0c08677882c3ede4b9aaf03	60455.0	0.6538513499	5597.0	1.0	0.0	0.0	Timezone		Datetime Construction			Low	Low	Low	Low	Outdated/Deprecated APIs		
5: Peter Sasha	False	False	unionai-oss	pandera	Pandas deprecated `(timezone naive timestamp).astype(timezone aware dtype)`	https://github.com/unionai-oss/pandera/issues/971	https://github.com/unionai-oss/pandera/pull/972	3095.0	0.6501153865	1304.0	1.0	0.0	0.0	Timezone		Library Conversions			Low	Low	Very High	High	Using Naïve Datetime Incorrectly	Outdated/Deprecated APIs	
6: Serena Sasha	False	False	pydantic	pydantic	TzInfo type doesn't provide proper dst	https://github.com/pydantic/pydantic/issues/6735	https://github.com/pydantic/pydantic-core/pull/864	19350.0	0.6475118973	3433.0	1.0	0.0	0.0	Timezone		Library Conversions	Datetime Comparison		Low	Medium	Very High	Medium	Library Bug		
2: Shrey Serena	False	True	dusktreader	flask-praetorian	Dependency issues with pendulum and python 3.12	https://github.com/dusktreader/flask-praetorian/issues/292	https://github.com/dusktreader/flask-praetorian/pull/293	340.0	0.6362162923	1205.0	1.0	0.0	1.0												
6: Serena Sasha	False	False	huggingface	huggingface_hub	`test_from_raw_initialization` seems to be missing daylight savings?	https://github.com/huggingface/huggingface_hub/issues/1976	https://github.com/huggingface/huggingface_hub/pull/1982	1790.0	0.6354657674	4311.0	1.0	0.0	0.0	Timezone	DST	Timezone Conversions			Low	Medium	Low	Low	Using Naïve Datetime Incorrectly	Comparing Timezones	
2: Shrey Serena	False	True	influxdata	influxdb-client-python	Nanosecond Precision	https://github.com/influxdata/influxdb-client-python/issues/314	https://github.com/influxdata/influxdb-client-python/pull/315	677.0	0.6334660476	1163.0	1.0	0.0	0.0												
5: Peter Sasha	False	True	ApeWorX	ape	General: add functionality to convert datetime object to timestamp	https://github.com/ApeWorX/ape/issues/436	https://github.com/ApeWorX/ape/pull/441	838.0	0.6245103603	1016.0	1.0	0.0	0.0												
4: Peter Serena	False	False	agronholm	apscheduler	IntervalTrigger unnecessarily expects integers, when datetime.timedelta accepts floats	https://github.com/agronholm/apscheduler/issues/444	https://github.com/agronholm/apscheduler/commit/f37a9e7066be0e2118625bf4ca2bcbe5c8db3ce9	5869.0	0.6164578013	1584.0	1.0	0.0	0.0	Duration		Delta Construction			Low	Low	Low	Low	Incorrect API usage		
4: Peter Serena	False	False	qutebrowser	qutebrowser	New completion and timezone issues	https://github.com/qutebrowser/qutebrowser/issues/2830	https://github.com/qutebrowser/qutebrowser/pull/2295	9434.0	0.6101371888	3965.0	1.0	0.0	0.0	Timezone	Timestamps	Timestamp/Hash Construction	Datetime Construction		Medium	Medium	High	Medium	Using Naïve Datetime Incorrectly		
1: Shrey Peter	False	True	pydantic	pydantic-core	Improve error message of timedelta validation	https://github.com/pydantic/pydantic-core/issues/882	https://github.com/pydantic/pydantic-core/pull/915	1309.0	0.6096613144	1499.0	1.0	0.0	0.0												
6: Serena Sasha	False	True	scrapinghub	dateparser	test_timezone_offset_calculation_1 fails on 32bit platforms	https://github.com/scrapinghub/dateparser/issues/1204	https://github.com/scrapinghub/dateparser/pull/1205	2480.0	0.6077727615	1477.0	1.0	0.0	0.0												
2: Shrey Serena	False	True	python	cpython	timedelta fails to consider fold	https://github.com/python/cpython/issues/112638	https://github.com/apache/airflow/pull/35887	60455.0	0.6060742009	3703.0	1.0	0.0	0.0												
3: Shrey Sasha	False	True	dateutil	dateutil	parser.parse does not apply time zone to date if ignoretz is True and tzinfos is given	https://github.com/dateutil/dateutil/issues/80	https://github.com/dateutil/dateutil/pull/103	2266.0	0.5958438073	2548.0	1.0	0.0	0.0												
6: Serena Sasha	False	True	edgedb	edgedb	Validate names of datetime units to only support plurals	https://github.com/edgedb/edgedb/issues/958	https://github.com/edgedb/edgedb/commit/9e8cd5f63d226c55e4c147bf4333f0a35b3a073c	12712.0	0.59147574	1945.0	1.0	0.0	0.0												
4: Peter Serena	False	False	jdemaeyer	brightsky	Enforce ISO 8601 compliant timestamps	https://github.com/jdemaeyer/brightsky/issues/101	https://github.com/jdemaeyer/brightsky/commit/e0699fa0b16d0507f0f25d262d99ac95ee4eec2c	277.0	0.5899447714	3748.0	1.0	0.0	0.0	String Representation		String Parsing/Formatting (data)	Datetime Construction		High	Medium	Medium	Medium	Dropping Timezones		
6: Serena Sasha	False	False	adamchainz	time-machine	datetime.datetime.utcnow() should not have tzinfo	https://github.com/adamchainz/time-machine/issues/52	https://github.com/adamchainz/time-machine/commit/949f72a652cac28101350fcbee20afbe72880e8b	618.0	0.5885657281	1281.0	1.0	0.0	0.0	Timezone		Datetime Construction	Timezone Conversions		Low	Medium	Low	Low	Library Bug	Dropping Timezones	
3: Shrey Sasha	False	False	sdispater	pendulum	Timezone is empty on Windows 10 bash shell, causing error while unpickling Pendulum objects	https://github.com/sdispater/pendulum/issues/167	https://github.com/sdispater/pendulum/pull/174	6109.0	0.5815114874	2158.0	1.0	0.0	1.0	Timezone		Querying Datetime Components			Low	High	Medium	Medium	Dropping Timezones		
5: Peter Sasha	False	True	microsoft	ptvsd	Debugger exiting after after 30 seconds	https://github.com/microsoft/ptvsd/issues/1890	https://github.com/tl-its-umich-edu/my-learning-analytics/pull/1127	544.0	0.5806705056	1724.0	1.0	0.0	0.0												
6: Serena Sasha	False	True	mage-ai	mage-ai	[BUG] Snowflake destination incorrect timezone information on UTC dates	https://github.com/mage-ai/mage-ai/issues/4821	https://github.com/mage-ai/mage-ai/pull/4875	7298.0	0.57788079	1832.0	1.0	0.0	1.0												
4: Peter Serena	False	False	python-humanize	humanize	naturaltime should support timezone-aware datetimes	https://github.com/python-humanize/humanize/issues/17	https://github.com/snarfed/webutil/commit/38e9086b239c3ab6d39a88ae9fdc09e7fccf4857	395.0	0.5773365263	1069.0	1.0	0.0	0.0	Timezone	String Representation	String Parsing/Formatting (humanized)	Datetime Arithmetic		Low	Medium	Low	Medium	Using Naïve Datetime Incorrectly		
5: Peter Sasha	False	False	twintproject	twint	Elasticsearch calculation for HOUR and Day	https://github.com/twintproject/twint/issues/401	https://github.com/twintproject/twint/commit/3b07559381e701bdb0808bd8c37fd2fb6afd8583	15621.0	0.5692844519	2132.0	1.0	0.0	0.0	Timestamps		Datetime Construction	Querying Datetime Components		Low	Medium	Low	Low	Precision of Representation		
6: Serena Sasha	False	False	browser-history	browser-history	[TESTS] test_browsers_* outcome is timezone-dependent	https://github.com/browser-history/browser-history/issues/90	https://github.com/browser-history/browser-history/pull/93	153.0	0.562430549	15600.0	1.0	0.0	0.0	Timezone	DST	Timezone Conversions	Querying Datetime Components		Medium	Low	Medium	Medium	Comparing Timezones		
2: Shrey Serena	False	False	KoffeinFlummi	Chronyk	relative month parsing fails when target month has fewer days than the current date	https://github.com/KoffeinFlummi/Chronyk/issues/5	https://github.com/KoffeinFlummi/Chronyk/commit/5d7a1e233915041edd5b48e763003a11af138b4c	344.0	0.5531081467	1670.0	1.0	0.0	0.0	String Representation		String Parsing/Formatting (humanized)	Datetime Construction		Medium	High	Medium	Medium	Unintuitive Arithmetic		
1: Shrey Peter	False	False	nextcord	nextcord	datetime.datetime.utcnow is deprecated in Python 3.12	https://github.com/nextcord/nextcord/issues/1062	https://github.com/nextcord/nextcord/pull/1107	1145.0	0.5450500429	1168.0	1.0	0.0	0.0	Timezone		Datetime Construction			Low	Low	Low	Low	Outdated/Deprecated APIs		
1: Shrey Peter	False	False	aws	aws-sdk-pandas	Unexpected exception `TypeError: 'NoneType' object is not subscriptable` reading parquet files with timezone aware timestamps	https://github.com/aws/aws-sdk-pandas/issues/1823	https://github.com/aws/aws-sdk-pandas/pull/1840	3834.0	0.541965309	2215.0	1.0	0.0	0.0	Timezone	String Representation	Querying Datetime Components			Low	High	Medium	Low	Dropping Timezones		
5: Peter Sasha	False	True	pandas-dev	pandas-stubs	timedelta_range or interval_range should accept Timedelta or timedelta as freq	https://github.com/pandas-dev/pandas-stubs/issues/600	https://github.com/pandas-dev/pandas-stubs/pull/670	217.0	0.53841725	2116.0	1.0	0.0	0.0	Duration		Library Conversions	Delta Construction	Delta Arithmetic	Low	Low	Low	Low			
1: Shrey Peter	False	True	voxel51	fiftyone	[BUG] App timezone issues	https://github.com/voxel51/fiftyone/issues/2111	https://github.com/voxel51/fiftyone/pull/2115	6902.0	0.534822494	1816.0	1.0	0.0	0.0												
5: Peter Sasha	False	False	dateutil	dateutil	tzwin for the same timezone string does not compare equal	https://github.com/dateutil/dateutil/issues/151	https://github.com/dateutil/dateutil/pull/180	2266.0	0.5328494159	1188.0	1.0	0.0	0.0	Timezone		Datetime Equality	Querying Datetime Components		Medium	Medium	Medium	Medium	Comparing Timezones		
6: Serena Sasha	False	True	apache	airflow	AttributeError: 'datetime.timezone' object has no attribute 'name'	https://github.com/apache/airflow/issues/16551	https://github.com/apache/airflow/pull/16599	35031.0	0.5324915053	14229.0	1.0	0.0	1.0												
3: Shrey Sasha	False	False	dateutil	dateutil	"AttributeError when strftime argument includes ""%Z"" for datetime.time"	https://github.com/dateutil/dateutil/issues/292	https://github.com/dateutil/dateutil/pull/309	2266.0	0.5290038546	1327.0	1.0	0.0	0.0	Timezone		String Parsing/Formatting (data)			Medium	Medium	Medium	Low	General		
3: Shrey Sasha	False	True	ericaltendorf	plotman	Bug: After config dst change, old (no longer configured) dst is still being used for new plots	https://github.com/ericaltendorf/plotman/issues/31	https://github.com/ericaltendorf/plotman/commit/3ecc7649f1336ea1103310e80ab2431582136eda	917.0	0.5260870966	1098.0	1.0	0.0	1.0												
2: Shrey Serena	False	False	sdispater	pendulum	Interprets 2 digit year 85 as 2085 instead of 1985	https://github.com/sdispater/pendulum/issues/686	https://github.com/MrAlexBailey/pendulum-fix-YY/commit/1e560c9ccf5b11fd2beab409e81e123eb0ddb160	6109.0	0.5210428648	1601.0	1.0	0.0	1.0	Date	String Representation	String Parsing/Formatting (data)			Low	Medium	Medium	Low	Precision of Representation		
4: Peter Serena	False	True	streamlit	streamlit	Handling timezones	https://github.com/streamlit/streamlit/issues/1837	https://github.com/streamlit/streamlit/pull/1838	32774.0	0.5203939288	2641.0	1.0	0.0	0.0												
4: Peter Serena	False	False	sdispater	pendulum	"Inconsistency with 'parse(""13:00"")' depending if Pendulum is built with C extensions or not"	https://github.com/sdispater/pendulum/issues/210	https://github.com/sdispater/pendulum/pull/251	6109.0	0.5203829295	1672.0	1.0	0.0	1.0	String Representation		String Parsing/Formatting (humanized)	Datetime Construction		Medium	High	Medium	Medium	Precision of Representation		
